parameter,iter_4,iter_5,iter_6,iter_7,iter_8,iter_12,iter_13,iter_14,iter_15,iter_16,iter_17,iter_18,iter_19,iter_20,iter_21,iter_22,iter_23,iter_24,iter_25,iter_26,iter_27,iter_28,iter_29,iter_30,iter_31,iter_32,iter_33,iter_34,iter_35,iter_36,iter_37,iter_38,iter_39,iter_40,iter_41
train_fn,63.0,90.0,65.0,63.0,22.0,82.0,39.0,104.0,52.0,50.0,47.0,33.0,102.0,102.0,103.0,104.0,9.0,9.0,82.0,73.0,68.0,34.0,7.0,89.0,82.0,88.0,69.0,87.0,35.0,85.0,61.0,54.0,50.0,43.0,96.0
train_tp,59.0,32.0,57.0,59.0,100.0,40.0,83.0,18.0,70.0,72.0,75.0,89.0,20.0,20.0,19.0,18.0,113.0,113.0,40.0,49.0,54.0,88.0,115.0,33.0,40.0,34.0,53.0,35.0,87.0,37.0,61.0,68.0,72.0,79.0,26.0
val_precision,0.0,0.0,0.6666666666666666,0.5,0.5714285714285714,0.0,0.375,0.5,0.5,0.6,0.0,0.5714285714285714,1.0,1.0,0.5,0.5,0.5,0.5,1.0,0.5,0.6666666666666666,0.5714285714285714,0.625,0.0,0.6666666666666666,0.5,0.6666666666666666,0.5,0.5714285714285714,0.5,0.6666666666666666,0.25,0.75,0.4,0.5
val_tn,7.0,9.0,8.0,8.0,6.0,8.0,4.0,8.0,6.0,7.0,9.0,6.0,9.0,9.0,8.0,8.0,5.0,5.0,9.0,8.0,8.0,6.0,6.0,9.0,8.0,8.0,8.0,8.0,6.0,8.0,8.0,6.0,8.0,6.0,8.0
val_fp,2.0,0.0,1.0,1.0,3.0,1.0,5.0,1.0,3.0,2.0,0.0,3.0,0.0,0.0,1.0,1.0,4.0,4.0,0.0,1.0,1.0,3.0,3.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,3.0,1.0
val_fn,10.0,10.0,8.0,9.0,6.0,10.0,7.0,9.0,7.0,7.0,10.0,6.0,9.0,9.0,9.0,9.0,6.0,6.0,8.0,9.0,8.0,6.0,5.0,10.0,8.0,9.0,8.0,9.0,6.0,9.0,8.0,9.0,7.0,8.0,9.0
val_tp,0.0,0.0,2.0,1.0,4.0,0.0,3.0,1.0,3.0,3.0,0.0,4.0,1.0,1.0,1.0,1.0,4.0,4.0,2.0,1.0,2.0,4.0,5.0,0.0,2.0,1.0,2.0,1.0,4.0,1.0,2.0,1.0,3.0,2.0,1.0
test_precision,0.6666666666666666,0.0,0.5555555555555556,0.6,0.6111111111111112,0.5,0.6111111111111112,0.0,0.6666666666666666,0.7142857142857143,0.0,0.6470588235294118,1.0,1.0,0.0,0.0,0.6190476190476191,0.6190476190476191,0.5,0.8333333333333334,0.75,0.6470588235294118,0.55,0.0,0.5,0.6666666666666666,0.6,0.5,0.625,0.8,0.7142857142857143,0.6923076923076923,0.6153846153846154,0.6875,0.5
recall,0.375,0.0,0.3125,0.375,0.6875,0.125,0.6875,0.0,0.5,0.625,0.0,0.6875,0.0625,0.0625,0.0,0.0,0.8125,0.8125,0.125,0.3125,0.1875,0.6875,0.6875,0.0,0.125,0.125,0.375,0.0625,0.625,0.25,0.3125,0.5625,0.5,0.6875,0.0625
f1score,0.4800000000000001,0.0,0.39999999999999997,0.4615384615384615,0.6470588235294118,0.2,0.6470588235294118,0.0,0.5714285714285715,0.6666666666666666,0.0,0.6666666666666667,0.11764705882352941,0.11764705882352941,0.0,0.0,0.7027027027027026,0.7027027027027026,0.2,0.45454545454545453,0.3,0.6666666666666667,0.6111111111111112,0.0,0.2,0.21052631578947367,0.4615384615384615,0.1111111111111111,0.625,0.38095238095238093,0.43478260869565216,0.6206896551724138,0.5517241379310345,0.6875,0.1111111111111111
roc,0.6041666666666667,0.5,0.5451388888888888,0.5763888888888888,0.6493055555555556,0.5069444444444444,0.6493055555555556,0.4722222222222222,0.638888888888889,0.7013888888888888,0.5,0.6770833333333335,0.53125,0.53125,0.4722222222222222,0.4722222222222222,0.6840277777777778,0.6840277777777778,0.5069444444444444,0.6284722222222222,0.5659722222222222,0.6770833333333335,0.59375,0.4444444444444444,0.5069444444444444,0.5347222222222222,0.5763888888888888,0.5034722222222222,0.6458333333333334,0.5972222222222222,0.6006944444444444,0.670138888888889,0.611111111111111,0.7048611111111112,0.5034722222222222
test_tn,15.0,18.0,14.0,14.0,11.0,16.0,11.0,17.0,14.0,14.0,18.0,12.0,18.0,18.0,17.0,17.0,10.0,10.0,16.0,17.0,17.0,12.0,9.0,16.0,16.0,17.0,14.0,17.0,12.0,17.0,16.0,14.0,13.0,13.0,17.0
test_fp,3.0,0.0,4.0,4.0,7.0,2.0,7.0,1.0,4.0,4.0,0.0,6.0,0.0,0.0,1.0,1.0,8.0,8.0,2.0,1.0,1.0,6.0,9.0,2.0,2.0,1.0,4.0,1.0,6.0,1.0,2.0,4.0,5.0,5.0,1.0
test_fn,10.0,16.0,11.0,10.0,5.0,14.0,5.0,16.0,8.0,6.0,16.0,5.0,15.0,15.0,16.0,16.0,3.0,3.0,14.0,11.0,13.0,5.0,5.0,16.0,14.0,14.0,10.0,15.0,6.0,12.0,11.0,7.0,8.0,5.0,15.0
test_tp,6.0,0.0,5.0,6.0,11.0,2.0,11.0,0.0,8.0,10.0,0.0,11.0,1.0,1.0,0.0,0.0,13.0,13.0,2.0,5.0,3.0,11.0,11.0,0.0,2.0,2.0,6.0,1.0,10.0,4.0,5.0,9.0,8.0,11.0,1.0
