parameter,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12,iter_13,iter_14,iter_15,iter_16,iter_17,iter_18,iter_19,iter_20,iter_21,iter_22,iter_23,iter_24,iter_25,iter_26,iter_27,iter_28,iter_29,iter_30,iter_31,iter_32,iter_33,iter_34,iter_35,iter_36
acc_test,0.6571428571428571,0.6,0.6285714285714286,0.6285714285714286,0.6285714285714286,0.6285714285714286,0.6285714285714286,0.5428571428571428,0.6857142857142857,0.4857142857142857,0.4857142857142857,0.6,0.6285714285714286,0.4857142857142857,0.4857142857142857,0.4857142857142857,0.4857142857142857,0.5428571428571428,0.6,0.6,0.5428571428571428,0.6,0.5142857142857142,0.6857142857142857,0.7142857142857143,0.4857142857142857,0.6571428571428571,0.6571428571428571,0.6,0.6857142857142857,0.6571428571428571,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.6,0.6
train_precision,0.7697841726618705,0.762589928057554,0.768595041322314,0.75,0.75,0.75,0.75,0.918918918918919,0.8333333333333334,0.90625,0.90625,0.8764044943820225,0.8969072164948454,0.9148936170212766,0.8918918918918919,0.9565217391304348,0.8873239436619719,0.7857142857142857,0.8613861386138614,0.8613861386138614,0.7883211678832117,0.7890625,0.925,0.7704918032786885,0.7862595419847328,0.7931034482758621,0.8046875,0.8031496062992126,0.7697841726618705,0.796875,0.808,0.7923076923076923,0.7819548872180451,0.7923076923076923,0.7605633802816901,0.75
train_tn,90.0,89.0,94.0,87.0,87.0,87.0,87.0,116.0,107.0,119.0,119.0,111.0,112.0,118.0,114.0,121.0,114.0,104.0,108.0,108.0,93.0,95.0,116.0,94.0,94.0,110.0,97.0,97.0,90.0,96.0,98.0,95.0,93.0,95.0,88.0,86.0
train_fp,32.0,33.0,28.0,35.0,35.0,35.0,35.0,6.0,15.0,3.0,3.0,11.0,10.0,4.0,8.0,1.0,8.0,18.0,14.0,14.0,29.0,27.0,6.0,28.0,28.0,12.0,25.0,25.0,32.0,26.0,24.0,27.0,29.0,27.0,34.0,36.0
train_fn,29.0,30.0,43.0,31.0,31.0,31.0,31.0,68.0,61.0,107.0,107.0,58.0,49.0,93.0,70.0,114.0,73.0,70.0,49.0,49.0,28.0,35.0,62.0,42.0,33.0,90.0,33.0,34.0,29.0,34.0,35.0,33.0,32.0,33.0,28.0,28.0
train_tp,107.0,106.0,93.0,105.0,105.0,105.0,105.0,68.0,75.0,29.0,29.0,78.0,87.0,43.0,66.0,22.0,63.0,66.0,87.0,87.0,108.0,101.0,74.0,94.0,103.0,46.0,103.0,102.0,107.0,102.0,101.0,103.0,104.0,103.0,108.0,108.0
val_precision,0.45454545454545453,0.36363636363636365,0.16666666666666666,0.4,0.4,0.4,0.4,0.2,0.0,0.0,0.0,0.42857142857142855,0.3333333333333333,0.0,0.0,0.0,0.0,0.2857142857142857,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.25,0.25,0.16666666666666666,0.36363636363636365,0.0,0.45454545454545453,0.3333333333333333,0.4166666666666667,0.36363636363636365,0.4,0.4,0.36363636363636365,0.36363636363636365,0.46153846153846156,0.4166666666666667
val_tn,6.0,5.0,7.0,6.0,6.0,6.0,6.0,8.0,6.0,11.0,11.0,8.0,6.0,11.0,7.0,12.0,8.0,7.0,5.0,5.0,5.0,6.0,9.0,7.0,5.0,10.0,6.0,6.0,5.0,5.0,6.0,6.0,5.0,5.0,5.0,5.0
val_fp,6.0,7.0,5.0,6.0,6.0,6.0,6.0,4.0,6.0,1.0,1.0,4.0,6.0,1.0,5.0,0.0,4.0,5.0,7.0,7.0,7.0,6.0,3.0,5.0,7.0,2.0,6.0,6.0,7.0,7.0,6.0,6.0,7.0,7.0,7.0,7.0
val_fn,2.0,3.0,6.0,3.0,3.0,3.0,3.0,6.0,7.0,7.0,7.0,4.0,4.0,7.0,7.0,7.0,7.0,5.0,3.0,3.0,3.0,5.0,6.0,6.0,3.0,7.0,2.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0
val_tp,5.0,4.0,1.0,4.0,4.0,4.0,4.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,4.0,2.0,1.0,1.0,4.0,0.0,5.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,6.0,5.0
test_precision,0.6875,0.625,0.6923076923076923,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.625,0.8181818181818182,0.0,0.0,0.7,0.7272727272727273,0.0,0.5,0.0,0.5,0.625,0.6666666666666666,0.6666666666666666,0.5714285714285714,0.6666666666666666,0.5714285714285714,0.7333333333333333,0.7222222222222222,0.5,0.7142857142857143,0.7142857142857143,0.625,0.7333333333333333,0.7142857142857143,0.75,0.7222222222222222,0.7222222222222222,0.625,0.625
recall,0.6111111111111112,0.5555555555555556,0.5,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.2777777777777778,0.5,0.0,0.0,0.3888888888888889,0.4444444444444444,0.0,0.16666666666666666,0.0,0.05555555555555555,0.2777777777777778,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.2222222222222222,0.6111111111111112,0.7222222222222222,0.05555555555555555,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.6111111111111112,0.5555555555555556,0.6666666666666666,0.7222222222222222,0.7222222222222222,0.5555555555555556,0.5555555555555556
f1score,0.6470588235294118,0.5882352941176471,0.5806451612903226,0.606060606060606,0.606060606060606,0.606060606060606,0.606060606060606,0.3846153846153846,0.6206896551724137,0.0,0.0,0.5,0.5517241379310345,0.0,0.25,0.0,0.09999999999999999,0.3846153846153846,0.5333333333333333,0.5333333333333333,0.5,0.5333333333333333,0.32,0.6666666666666666,0.7222222222222222,0.09999999999999999,0.6250000000000001,0.6250000000000001,0.5882352941176471,0.6666666666666666,0.6250000000000001,0.7058823529411765,0.7222222222222222,0.7222222222222222,0.5882352941176471,0.5882352941176471
roc,0.6584967320261438,0.6013071895424836,0.6323529411764706,0.630718954248366,0.630718954248366,0.630718954248366,0.630718954248366,0.5506535947712418,0.6911764705882353,0.5,0.5,0.6062091503267973,0.6339869281045751,0.5,0.4950980392156863,0.5,0.49836601307189543,0.5506535947712418,0.6045751633986928,0.6045751633986928,0.545751633986928,0.6045751633986928,0.5228758169934641,0.6879084967320261,0.7140522875816993,0.49836601307189543,0.6601307189542484,0.6601307189542484,0.6013071895424836,0.6879084967320261,0.6601307189542484,0.7156862745098038,0.7140522875816993,0.7140522875816993,0.6013071895424836,0.6013071895424836
test_tn,12.0,11.0,13.0,12.0,12.0,12.0,12.0,14.0,15.0,17.0,17.0,14.0,14.0,17.0,14.0,17.0,16.0,14.0,13.0,13.0,11.0,13.0,14.0,13.0,12.0,16.0,13.0,13.0,11.0,13.0,13.0,13.0,12.0,12.0,11.0,11.0
test_fp,5.0,6.0,4.0,5.0,5.0,5.0,5.0,3.0,2.0,0.0,0.0,3.0,3.0,0.0,3.0,0.0,1.0,3.0,4.0,4.0,6.0,4.0,3.0,4.0,5.0,1.0,4.0,4.0,6.0,4.0,4.0,4.0,5.0,5.0,6.0,6.0
test_fn,7.0,8.0,9.0,8.0,8.0,8.0,8.0,13.0,9.0,18.0,18.0,11.0,10.0,18.0,15.0,18.0,17.0,13.0,10.0,10.0,10.0,10.0,14.0,7.0,5.0,17.0,8.0,8.0,8.0,7.0,8.0,6.0,5.0,5.0,8.0,8.0
test_tp,11.0,10.0,9.0,10.0,10.0,10.0,10.0,5.0,9.0,0.0,0.0,7.0,8.0,0.0,3.0,0.0,1.0,5.0,8.0,8.0,8.0,8.0,4.0,11.0,13.0,1.0,10.0,10.0,10.0,11.0,10.0,12.0,13.0,13.0,10.0,10.0
